Order ID,Invoice ID,Shipment Date,Invoice Date,VAT ID,ASIN,SKU,Item Title,Quantity,Item Cost,Tax Rate,Warehouse Code,Status
DTm0SBypC,DTm0SBypC,29 May 2026  12:14:16 AM GMT,29 May 2026  12:14:16 AM GMT,61005625025,B0GXXKBF4N,543L,Euca Dishwashing Liquid Concentrate 1L Lemon Myrtle & Tea Tree Oil – Biodegradable  Tough on Grease  Multi-Purpose Cleaner  No Synthetic Fragrance  Septic Safe,1,$6.45,10%,HDWB,PAID
DYfBnpyxC,DYfBnpyxC,29 May 2026  12:14:14 AM GMT,29 May 2026  12:14:14 AM GMT,61005625025,B0GZV4NXC4,589C,Euca Castile Liquid Soap Unscented 500ml – Original Formula Multi-Purpose Natural Soap – Eco Friendly Plant-Based Cleaner for Body  Hands & Home – Grey Water Safe – Vegan Coconut Oil Soap,1,$4.89,10%,HDWB,PAID
D5ydmY3lC,D5ydmY3lC,28 May 2026  1:59:17 AM GMT,28 May 2026  1:59:17 AM GMT,61005625025,B0B62TTYSM,106VREF,Euca Laundry Powder 10KG EcoBox – Concentrated Plant-Based Laundry Powder  Pure Eucalyptus  Powerful Stain Removal  Front & Top Loader  500 Washes  Australian Made,1,$43.16,10%,HDWB,PAID
DFkGpFFpC,DFkGpFFpC,28 May 2026  1:59:17 AM GMT,28 May 2026  1:59:17 AM GMT,61005625025,B0B62TTYSM,106VREF,Euca Laundry Powder 10KG EcoBox – Concentrated Plant-Based Laundry Powder  Pure Eucalyptus  Powerful Stain Removal  Front & Top Loader  500 Washes  Australian Made,1,$43.16,10%,HDWB,PAID
Djp20R3NC,Djp20R3NC,28 May 2026  1:59:17 AM GMT,28 May 2026  1:59:17 AM GMT,61005625025,B0B62TTYSM,106VREF,Euca Laundry Powder 10KG EcoBox – Concentrated Plant-Based Laundry Powder  Pure Eucalyptus  Powerful Stain Removal  Front & Top Loader  500 Washes  Australian Made,1,$43.16,10%,HDWB,PAID
DTKQJVFZC,DTKQJVFZC,28 May 2026  1:59:17 AM GMT,28 May 2026  1:59:17 AM GMT,61005625025,B0GZTXHTLK,589N5,Euca Castile Liquid Soap Unscented 5L – Original Formula Multi-Purpose Natural Soap – Eco Friendly Plant-Based Cleaner for Body  Hands & Home – Grey Water Safe – Vegan Coconut Oil Soap,1,$27.98,10%,HDWB,PAID
DrMtmzFtC,DrMtmzFtC,28 May 2026  1:59:17 AM GMT,28 May 2026  1:59:17 AM GMT,61005625025,B0G3XBGDTT,604L,Euca Laundry Sanitiser 1L – Concentrated Antibacterial Laundry Liquid  Kills Germs & Odours  Natural Australian Eucalyptus  Hygienic Cleaning  Australian Made,1,$4.95,10%,HDWB,PAID
DrMtmzFtC,DrMtmzFtC,28 May 2026  1:59:17 AM GMT,28 May 2026  1:59:17 AM GMT,61005625025,B0B62TTYSM,106VREF,Euca Laundry Powder 10KG EcoBox – Concentrated Plant-Based Laundry Powder  Pure Eucalyptus  Powerful Stain Removal  Front & Top Loader  500 Washes  Australian Made,1,$43.16,10%,HDWB,PAID
DrMtmzFtC,DrMtmzFtC,28 May 2026  1:59:17 AM GMT,28 May 2026  1:59:17 AM GMT,61005625025,B0B62VY9B2,107F2R,Euca Laundry Soaker 2KG EcoBox - Pure Eucalyptus Powered - Low Allerginc - Australian Made - 100 WASHES,1,$10.80,10%,HDWB,PAID
DpJm6sFrC,DpJm6sFrC,28 May 2026  1:59:17 AM GMT,28 May 2026  1:59:17 AM GMT,61005625025,B0B61D6Z2J,614C,Euca All Purpose Disinfectant Cleaner 500ml - Kills 99.9% of Germs and Eliminates Odors - Eucalyptus Powered Disinfectant of Viruses and Bacteria  Bleach-Free,1,$4.18,10%,HDWB,PAID
